x,y,z,eps_e,layer
0.668318,0.732881,0.668838,0.1857,top
0.668112,0.73446,0.7,0.209688,top
0.668318,0.732881,0.731163,0.1857,top
0.668717,0.727982,0.760047,0.184509,top
0.666253,0.756639,0.629113,0.115959,top
0.665438,0.763895,0.663869,0.124913,top
0.665179,0.765584,0.7,0.0902904,top
0.665438,0.763895,0.736131,0.124913,top
0.666253,0.756639,0.770887,0.115961,top
0.661834,0.797176,0.624602,0.0193067,top
0.66118,0.802619,0.661539,0.0383008,top
0.661089,0.803794,0.7,0.0634346,top
0.66118,0.802619,0.738461,0.0383004,top
0.661834,0.797176,0.775396,0.0193063,top
0.7,0.678472,0.646636,0.0631979,bot
0.7,0.680428,0.673503,0.0936003,bot
0.7,0.681959,0.7,0.0730649,bot
0.7,0.680428,0.726497,0.0936001,bot
0.7,0.678472,0.753364,0.0631973,bot
0.7,0.705124,0.645218,0.123577,top
0.7,0.70826,0.672038,0.0749426,top
0.7,0.709814,0.7,0.0807283,top
0.7,0.70826,0.727962,0.0749429,top
0.7,0.705124,0.754782,0.123577,top
0.7,0.729795,0.640047,0.169884,top
0.7,0.734595,0.668948,0.179531,top
0.7,0.73621,0.7,0.205501,top
0.7,0.734595,0.731052,0.179531,top
0.7,0.729796,0.759953,0.169883,top
0.7,0.759221,0.629571,0.11325,top
0.7,0.766002,0.664086,0.128468,top
0.7,0.76773,0.7,0.0929501,top
0.7,0.766002,0.735914,0.128468,top
0.7,0.759221,0.770429,0.113252,top
0.7,0.798902,0.624326,0.0235939,top
0.7,0.804721,0.661389,0.044477,top
0.7,0.80602,0.7,0.073088,top
0.7,0.804721,0.738611,0.0444764,top
0.7,0.798902,0.775673,0.0235951,top
0.726082,0.677218,0.646613,0.0703102,bot
0.726273,0.679121,0.673542,0.0982097,bot
0.726396,0.680661,0.7,0.0735582,bot
0.726273,0.679121,0.726458,0.0982091,bot
0.726082,0.677218,0.753387,0.0703103,bot
0.728841,0.703798,0.645344,0.127355,top
0.729107,0.706823,0.672118,0.0744367,top
0.729197,0.708328,0.7,0.0802848,top
0.729107,0.706823,0.727882,0.0744367,top
0.728841,0.703798,0.754656,0.127354,top
0.731282,0.727982,0.639953,0.18451,top
0.731682,0.732881,0.668837,0.185699,top
0.731887,0.73446,0.7,0.209688,top
0.731682,0.732881,0.731162,0.1857,top
0.731282,0.727982,0.760047,0.18451,top
0.733747,0.756639,0.629113,0.11596,top
0.734562,0.763895,0.663869,0.124913,top
0.734821,0.765584,0.7,0.090291,top
0.734562,0.763895,0.736131,0.124912,top
0.733747,0.756639,0.770887,0.115959,top
0.738166,0.797176,0.624602,0.0193073,top
0.73882,0.802619,0.661539,0.0382995,top
0.738911,0.803794,0.7,0.0634357,top
0.73882,0.802619,0.738461,0.0382991,top
0.738166,0.797176,0.775396,0.019307,top
0.751721,0.673269,0.64651,0.0772431,bot
0.752228,0.67511,0.673532,0.103836,bot
0.752523,0.676669,0.7,0.072515,bot
0.752228,0.67511,0.726468,0.103835,bot
0.751721,0.673269,0.75349,0.0772426,bot
0.757507,0.699613,0.645518,0.122761,bot
0.758049,0.702619,0.672207,0.0790471,top
0.758268,0.703975,0.7,0.089635,top
0.758049,0.702618,0.727793,0.0790477,top
0.757507,0.699613,0.754481,0.122761,bot
0.762528,0.723464,0.640186,0.195709,top
0.763122,0.728205,0.668875,0.201183,top
0.763341,0.729534,0.7,0.221717,top
0.763122,0.728205,0.731125,0.201184,top
